naslov,avtor,drzava,kategorija,st_backerjev,cilj,pridobljen_denar,uspesnost,povzetek 
Raging Platypus Magazine N 3,Adrien Assi,DE,Zines,36,850,1157,1,"Let's get together to make the Raging Platypus Magazine N 3! A collection of stories, photoreportages, comics and other creations!"
"TREMORS FIGURES, Fan Made by Beast Toys",Heather Reinhardt & Josh smith,US,Product Design,24,2000,3126,1,#TremorsFigures #ComingSoon #Kickstarter #Horror #Comedy #Tremors #Nostalgia Brought to you by: Beast Toys #BeastToys #GrabAGraboid
2017 NWI Comic-Con,Brian Grabinski,US,Events,48,6000,1690,0,"Help crowdfund the NWI Comic-Con for the love of Comics, Art, Pop-Culture and the support of the Northwest Indiana Comics Community."
Conversation with a Killer,Aaron Wilson Suchy,US,Experimental,2,3000,6,0,"There is a man out there, believing he is the Angel of Judgment. He looks for the skeletons in your closet and he is ruthless."
Under The Bed Fred : A Childrens Book Series,J.J. Shroyer Jr and Rick Blane,US,Children's Books,1,2000,10,0,The first book in a planned series about a child that helps a monster who is afraid of everything learn to face and overcome his fears.
FisheWear: FUNctional Fishing Fashion,Linda Leary,US,Apparel,298,50000,66030,1,FisheWear is ready to expand our collection of fun and functional fishing fashion - and we need your help!
Socks the Cat-The SNES Video Game Based on the Clinton's Cat,Second Dimension,US,Video Games,339,30000,33148,1,"Dust off your Super Nintendo. Socks the Cat Rocks the Hill, the most anticipated unreleased video game of all-time is finally coming!"
Songs of the Open Road,Kate Bass,US,Indie Rock,138,10000,11098,1,I drove from one end of America to the other and wrote an album inspired by Walt Whitman's poem \\
Remedy: The Card Game,Sheep Tree Studios,US,Tabletop Games,110,5000,1461,0,"Remedy is a fast-paced card game featuring humorous characters, silly graphics and easy-to-learn rules!"
cologie-beeswax candle-Bougie en cire d'abeille-Bio-organic,Olivier Valla,FR,Product Design,13,3000,876,0,"Obeewax diffuses a harmonious beeswax scent. Each handmade candle is unique and seductively delicious, whether yellow, red or black."
VPSIDE Clothing,Jonathan Johnson,US,Apparel,1,1000,10,0,We're creating a new clothing brand known as VPSIDE Clothing. It will feature street wear and casual clothing.
Lost Cactus - The First Treasury: A Classic Comic Adventure,John Hopkins,US,Comic Books,57,500,1823,1,"The comic strip transports you to a top-secret world of ingenious scientists, aliens, and a genetically-engineered bee and dinosaur."
Billie: A Western Graphic Novel,Project-Nerd Publishing,US,Graphic Novels,328,3500,9086,1,"Billie is the newest graphic novel from Project-Nerd Publishing, featuring 68 pages of western action!"
Createures: Flip 5 Game Cards. Draw Art. Critique. Improve.,P.E. Robinson,US,Tabletop Games,76,12500,5400,0,"6 Fun Drawing Games in 1 Box. Take to school, lunch break or party. Imaginative ART unlocks your inner youth & full creative potential!"
Dodgy Dealers - The Black Market Art Dealing Card Game,Big Man Murph,IE,Tabletop Games,230,1000,7500,1,Dodgy Dealers is a 2-12 player deception/collection card game. Finish your collection before anyone else by any and all means possible!
MLB Game-Used Baseball Beanie: Choose Your Team,Tokens & Icons for UncommonGoods,US,Accessories,98,5000,16418,1,"This cap is hand-knit from the wool inside a game-used ball from your favorite MLB team, then lined with alpaca for cozy comfort."
Remote Robotic Presence with Off the Shelf Hardware,Craig Welch,US,Robots,1,50000,5,0,Build an open-source application to enable remote control over some off the shelf rolling drones over the internet.
Dutch Farmers Cheese,Joost Gijzenberg,US,Farmer's Markets,2,150000,2,0,Start a Dutch farmers cheese operation that makes traditional Dutch cheese and selling on FarmersMarkets and to restaurants.
Mdchenname Hasselhoff,Mademann und Alex,DE,Performance Art,7,1798,211,0,"Wir, die Punk-Kabarett-Band \\"
emerge. VCU Dance Fall Senior Projects 2016,Courtney Darlington,US,Performances,48,5500,5670,1,"We are presenting our capstone projects this November! Our works will be put in full production, we need your help to make it happen!"
"Dory, A Travel Booking Bot for the Rest of Us",Richard Birchard,US,Apps,1,50000,10,0,Creating a unified travel booking bot for social media channels
Dressy2Go,A. Tarek,US,Technology,27,35000,6216,0,"It gets your outfit ready on the fly! It's your only quick, safe and effortless de-wrinkling and drying buddy for your clothes."
entspannungs-c.de | Anti-Stress | Relaxation Music (Canceled),G. Grafik & Sound,DE,Music,2,1900,6,0,You can do something against this everyday madness with our relaxation music and relaxed sounds from www.entspannungs-c.de
360 GO. The most Affortable 360 4K Action Camera.,StepOn Technology,HK,Camera Equipment,103,30000,125018,1,Experience 360 Video & Photo. Affordable Price with Good Quality. Full set of accessory. HDMI/ Micro USB/ Wifi.
iShampoo Pet Brush,iShampoo Brush,US,Product Design,5,31790,72,0,The iShampoo Brush is a hand held shampoo bottle and massage brush that distributes shampoo while washing your pet.
Astronomy Bunn Plush,Jellibunn Creations,US,Crafts,17,4500,662,0,Bunns Bunns Bunns! The kickstarter for Astronomy Bunns - the cute Bunns who love the sky - is now live!
ZOMBIEWEAR SHOP,Dale Anderson,US,Apparel,0,2500,0,0,"At Zombiewear Shop, our shirts and art work designs combine the horror of the zombie world with just the right amount of humor."
INVISIBLE LIGHT  The Dolomites in ultra large format,Kurt Moser / Lightcatcher,IT,Photography,352,50000,57566,1,The Dolomites  captured with one of the most spectacular  Cameras in the world ! Help us tranform a military Truck into a huge Camera
MusicMash.net,Andrew Pojar,US,Music,2,10000,2,0,MusicMash.net - Putting both popular artist and kickstarter/indie bands into the same radio. Benefiting all artist.
Black&Simpson/&: Fear and Forgiveness in Letters,Cazimir Liske,US,Documentary,119,10000,12054,1,The true story of how a murderer and a victim's father transformed their lives and others' through an unlikely friendship in letters.
\\,Stella Nova,US,Indie Rock,7,3500,310,0,"A new type of musical storytelling inspired by the Marvel Cinematic Universe, I aim to create music and a world where all can escape."
STERNGLAS an affordable Bauhaus-Design watch,Dustin Fontaine,DE,Product Design,118,10000,16591,1,Good design has to be affordable. The STERNGLAS timepiece is a well designed wristwatch with durable quality and Ronda Movement.
House Cocktail Journal: Record Your Recipes in Style,Ben Putano,US,Drinks,565,15000,24745,1,"A stunning, hardback, water-resistant journal for recording cocktail recipes. Space for over 150 drinks, separated by spirit."
Solar Driven Ground Cooling For Permafrost Foundations,Simon A. Evans,US,Hardware,7,30000,500,0,"Solar Driven Ground Cooling System will keep the ground frozen solid beneath infrastructure founded on permafrost soils,"
Vizkidz: A Series Of Books On Data Visualization For Kids,Liv Buli,US,Children's Books,186,15000,15983,1,"Follow Penelope Pie and her friends on their many adventures, and learn more about the basic concepts of data visualization."
Pok-Egg-o Usb Power packs,Calvin D.,CA,DIY Electronics,7,4000,185,0,Want to be the best there ever was? Phone battery just cant keep up with your poke-lifestyle. The Pok-Egg-o may be just what you need!
Revolution Game House: Premier Board Game Caf of St. Louis,John Evan Lee,US,Tabletop Games,74,40000,7177,0,"Game, Grub, and Grog at the premier board game cafe of St. Louisthe community we want in the city we love."
Children of Sin Manga,Enjoy Comics LLP,US,Graphic Novels,27,1000,1252,1,An epic supernatural steampunk adventure written by Steven A. Hallberg with art by Alan A. Ventura and Bryan M. Revell.
"Sorry, I'm Just the Writer T-Shirt",Oliver Mertz,US,Apparel,56,100,1523,1,"A very comfortable t-shirt that says, \\"
Bokay: Hire Wedding Photographers & Stylists Seamlessly,aric henney,US,Apps,14,15000,2260,0,A digital platform that allows couples to find a wedding photographers and stylist as well suited for them as they are for each other!
Ben Noble | Debut Album,Ben Noble,US,Music,72,3500,4000,1,I'm recording a full-length album. It's almost done but I need your help to finish it right!
Tronald's Golden Shower [Premium Extra Virgin Olive Oil],Chary,US,Food,14,1000,555,0,Ultra premium extra virgin olive oil from Olympia Greece and bottled for ultimate Golden-ness. Nothing else!
Conspire - A Hidden-Role Storytelling Game,Cherry Picked Games,US,Tabletop Games,213,10000,10101,1,"Control the world, one scene at a time. Conspire hides players' identities and motives to quickly create hilarious and deep stories."
"Mermaids, Giants, and Mythology: An Inktober Colouring Book",Mel Hohn,CA,Art Books,25,700,870,1,This traditionally illustrated colouring book project features all kinds of mythological characters from around the world.
Looking Glass Wars: UnderFire,Frank Beddor,US,Graphic Novels,155,5000,7604,1,An action-packed graphic novel set in the world of the New York Timesbestselling Looking Glass Wars series.
"Avant-Garde, The UC 2017 Fifth Annual Deck by Edgy Brothers",Edgy Brothers,US,Playing Cards,333,8000,17092,1,A first-ever collaboration between Edgy Brothers and United Cardists to produce a new deck of EPCC-manufactured playing cards.
Become a songwriter,Victor,US,Music,1,600,4,0,Songs that gonna stuck in your head
the hidden flowerland voyage,prudence mak,HK,Art,100,60000,71508,1,I want to create a place thats totally free just like walking into a fairy tale ........
Sleepy Sentries & Sleazy Merchant by Forge of Ice,Alex Bates,US,Tabletop Games,143,2500,9112,1,28mm Merchant and his six Sentries - four of them in various stages of falling asleep!  Suitable for RPG's and tabletop wargaming.
Swords & Wizardry Complete Rulebook 3rd Printing,Frog God Games,US,Tabletop Games,1213,12000,45609,1,Be a part of the old school renaissance! Back the award-winning roleplaying game. Original edition rules. Original edition feel.
Kickstarted in the Butt: A Chuck Tingle Digital Adventure,Zo Quinn,US,Video Games,2450,69420,85448,1,We need your help to Prove Love Is Real and make a FREE Chuck Tingle Adventure Game for all True Buckaroos Who Kiss.
LifeRewind - Personal Surveillance Protection App,Brandon,US,Apps,5,7500,122,0,"LifeRewind  A perpetual audio recorder, designed to automatically capture the unexpected events in your life."
Heavens,Natalie Odisho,US,Children's Books,1,500,10,0,"Heavens is an metaphysical fantasy book made for the children who survived growing up. Part C.S. Lewis, part Harry Potter, all Love."
Motive8 Clothing,Olly Shaw and Eddie Marks,GB,Ready-to-wear,0,1500,0,0,"We are doing a new product line in hats, this is a great opportunity to get one of our t-shirts and a hat at a massive discount"
Prohibition At The Rathskeller,Terrell  Wilson,US,Restaurants,0,20000,0,0,Prohibition themed Gastro Pub and After Dark Silent \\
What Happened to Amos?,Kristina Motwani,US,Documentary,154,30000,14975,0,Journalist challenges detectives' theory with new evidence in disappearance of an enigmatic cannabis distributor named Amos Mortier.
Mosaic (album project),Atheen,GB,Music,0,2400,0,0,"Hi lovelies, I'm starting a 180 day journey to create two singles and one album (my second) and would like to invite you along."
Solaris - Enrich Your Atmosphere,Ryan Ward,GB,Product Design,630,500,33215,1,"Enrich the atmosphere around you with Solaris, the celestial bracelet you can infuse with your favourite fragrance."
Epirus: Tennis bags as stylish as the sport itself,Alan Kelly & Kristin Price,GB,Product Design,96,20000,21005,1,"A new kind of tennis bag designed for every aspect of your life, both on & off the court"
Cosmic Control,Joshua Howard,US,Mobile Games,89,5000,5264,1,"Welcome, Captain! Join us in saving our lost starships. Take command of your space station and guide our fleet safely back to port!"
Flip! The Worlds Most Intuitive Smart Stylus,Lynktec,US,Gadgets,1911,7500,131850,1,Meet the stylus that works like the pencil you grew up with. Flip has the features of an active stylus without Bluetooth or batteries!
the b.hive | a maker-truck teaching kids in areas of need!,Ananya Ram,US,Makerspaces,122,10000,11413,1,I'm a high-schooler teaching creative problem-solving (Design Thinking) to kids in areas of need using a maker-truck full of supplies!
